Resolution,Date,Summary
A/HRC/RES/13/14,2010/03/25,Situation of human rights in the Democratic People’s Republic of Korea :resolution /adopted by the Human Rights Council at its 13th session
A/HRC/RES/13/16,2010/03/25,Combating defamation of religions :resolution /adopted by the Human Rights Council at its 13th session
A/HRC/RES/14/1,2010/06/02,The grave attacks by Israeli forces against the humanitarian boat convoy :resolution /adopted by the Human Rights Council at its 14th session
A/HRC/RES/14/3,2010/06/17,Promotion of the right of peoples to peace :resolution /adopted by the Human Rights Council at its 14th session
A/HRC/RES/14/4,2010/06/17,"The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 14th session"
A/HRC/15/L.35,2010/09/28,The Situation of human rights in the Sudan :amendment /Human Rights Council at its 15th session
A/HRC/RES/15/1,2010/09/29,Follow-up to the report of the independent international  fact-finding mission on the incident of the humanitarian flotilla :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/6,2010/09/29,Follow-up to the report of the Committee of independent experts in international humanitarian and human rights law established pursuant to Council resolution 13/9 :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/12,2010/09/30,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/13,2010/09/30,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/24,2010/10/01,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/25,2010/10/01,The right to development :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/15/26,2010/10/01,"Open-ended intergovernmental working group to consider the possibility of elaborating an international regulatory framework on the regulation, monitoring and oversight of the activities of private military and security companies :resolution /adopted by the Human Rights Council at its 15th session"
A/HRC/RES/15/27,2010/10/01,Situation of human rights in the Sudan :resolution /adopted by the Human Rights Council at its 15th session
A/HRC/RES/16/3,2011/03/24,Promoting human rights and fundamental freedoms through a better understanding of traditional values of humankind :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/8,2011/03/24,Situation of human rights in the Democratic People’s Republic of Korea :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/9,2011/03/24,Situation of human rights in the Islamic Republic of Iran :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/10,2011/03/24,Composition of staff of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/14,2011/03/24,"Mandate of the independent experts on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic social and cultural rights :resolution /adopted by the Human Rights Council at its 16th session"
A/HRC/RES/16/17,2011/03/24,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/20,2011/03/25,Follow-up to the report of the independent international fact-finding mission on the incident of the humanitarian flotilla :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/29,2011/03/25,"The Human Rights Situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 16th session"
A/HRC/RES/16/30,2011/03/25,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 16th session
A/HRC/RES/16/31,2011/03/25,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 16th session"
A/HRC/RES/16/32,2011/03/25,Follow-up to the report of the United Nations Fact-Finding Mission on the Gaza Conflict :resolution /adopted by the Human Rights Council at its 16th session
